BeatID,Beat Name,File Name,Tempo,Genre,Created Date,Status,Collaborators,Remix,Notes,Racked,Release_Project
1,1980shouse1,1980shouse1,115,House,,,,,,,
2,36shit,36shit,160,Juke,,LOST,,,Finish arrangement,,
3,0.209398148,0.209398148,87,Hiphop,,,,,,,
4,4:29:2012#2,4:29:2012#2,86,,,, ,,,,
5,5%,5%,124,Club,,,,,,,
6,54CymruBeats,54CymruBeats,160,D&B,,LOST, ,,"Finish arrangement, nearly done",,
7,707workout1,707workout1,130,Club,,,,,,,
8,808beat1,808beat1,160,Bass,,,,,,,
9,808Workout1,808Workout1,140,Rap,1/4/15,,,,,,
10,80s90shousesong,80s90shousesong,128,House,,,,,,,
11,9MilliBros,9MilliBros,98,Rap,,,,,,,
12,A.A.Ron,A.A.Ron,153,Jungle,,LOST,,,,,
13,AackoliteJuke,AackoliteJuke,160,Juke,,,,,,,
14,AcidHouse1,AcidHouse1,129,House,2/21/15,,,,,,
15,AcidHouse2,AcidHouse2,130,House,,,,,,,
16,AdamantiumMech,AdamantiumMech,160,Juke,,LOST,,,Clean up drum parts,,
17,AFX ylow,AFX ylow,126,Garage,,,,,,,
18,AholeRoommates,AholeRoommates,97,Hiphop,,,,,,,
19,Airline Zeno,Airline Zeno,140,Bass,,LOST,,,,,
20,AkiraClub,AkiraClub,127,Club,,,Nate Kodi,,,,Nate Kodi Release
21,AlienPA.Random Beat,AlienPA.Random Beat,87,Hiphop,,,,,,,
22,All I Ever Need,All I Ever Need,128,House,,LOST,,,Basically Done,,(unreleased)
23,All Organic Bump,All Organic Bump,87,Hiphop,,,,,,,
24,AllIEverNeed,AllIEverNeed,128,House,,,,,,,(unreleased)
25,AmbientClip1,AmbientClip1,84,Ambient,,,,,,,
26,Amplue,Amplue,134,Bass,,,,,,,
27,Angles,Angles,130,Garage,,,,,,,
28,Angular Momentum,Angular Momentum,92,Hiphop,,,,,,,
29,Angular Momentum (Sodo Edit),Angular Momentum (Sodo Edit),85,Hiphop,,,,,,,
30,AngularPingMissile,AngularPingMissile,128,Bass,,,,,,,
31,Anthem,Anthem,145,Rap,,,,,,,Zenojimesis EP
32,28-Apr,28-Apr,,,,,,,,,
33,Aranciata,Aranciata,130,Funky House,,,,,,,
34,ArpCminor8Bit,ArpCminor8Bit,140,Dubstep,,LOST,,,"Needs to be mixed, add second elements, half-done",,
35,ArppyMess,ArppyMess,137,Bass,2/22/15,,,,Needs a finishing mix,,
36,Art of Sound 90sTechnoRemix,Art of Sound 90sTechnoRemix,130,House,,,,,,,
37,Atrium,Atrium,98,Rap,,,,,,1,Grimeshine Live Project
38,30-Aug,30-Aug,82,Hiphop,,,,,,,
39,B&B _ 22015 beat#2,B&B _ 22015 beat#2,142,Rap,,,BCE,,,,
40,B&B 2_20_2015BEAT,B&B 2_20_2015BEAT,133,Rap,,,Brendan,,,,
41,B&B 5172015,B&B 5172015,87,,,,BCE,,,,
42,B&B BEAT 2_22_15,B&B BEAT 2_22_15,131,Bass,,,BCE,,,,
43,B&B BEAT 7_7_13BEAT,B&B BEAT 7_7_13BEAT,78,Rap,,,BCE,,,,BeatsForRappers
44,Bad Touch Example,Bad Touch Example,140,Rap Edit,,,,,,,
45,BadFunds,BadFunds,108,,5/7/15,,,,,,
46,BAGELLE,BAGELLE,128,Club,2/8/15,,"OMW, Mike G",,,,
47,BangerJam,BangerJam,127,Bass,,,,,Needs lots of work,,
48,BangerJam2,BangerJam2,128,Bass,,,,,Basically done,,(unreleased)
49,BangerJam3/Syzygy,BangerJam3/Syzygy,122,Bass,,,,,,,Knightwerk
50,BangerJam4,BangerJam4,127,House,,,,,Basically done,,(unreleased)
51,BangerJam5,BangerJam5,124,,,,,,,,
52,BassGarage2,BassGarage2,126,Club,,,,,Basically done,,
53,BassWall,BassWall,150,Juke,,,,,,,(unreleased)
54,Bboy Untitled (Zenojim Remix),Bboy Untitled (Zenojim Remix),126,House,,,,Jrapp,,,Bass Machine Music
55,BCE 2_20_15,BCE 2_20_15,134,Rap,,,BCE,,,,
56,BCE 5_5_2014 (Zeno Edit),BCE 5_5_2014 (Zeno Edit),140,Rap,,,BCE,,,,
57,BCStudio1,BCStudio1,130,Ambient,,,,,,,
58,BeastMode,BeastMode,160,Juke,,,,,,,
59,Beat wit Luke!!,Beat wit Luke!!,95,Hiphop,,,,,,,
60,Beautiful (Zenojim Edit),Beautiful (Zenojim Edit),100,Rap Edit,10/12/14,,,A. G. Cook,,1,
61,Becuz I can Beezy,Becuz I can Beezy,140,Dubstep,,,,,,,
62,Bed Rull Ausic Mcademy,Bed Rull Ausic Mcademy,130,Bass,,,,,,,
63,Beepbeat,Beepbeat,94,Hiphop,,,,,Basically done,,
64,BeepLazers,BeepLazers,160,Juke,,,,,,,
65,Before Day,Before Day,125,Garage,,,,,,,
66,Being Judged,Being Judged,,,,,,,,1,
67,BentRatchets,BentRatchets,137,Club,,,,,Needs lots of work,,(unfinished)
68,Bhagvat,Bhagvat,79,Hiphop,,,,,,,
69,BigBeach,BigBeach,70,Dubstep,,,,,,,
70,BiotSavart,BiotSavart,170,Hiphop,,,No-Suh I Say,,"small little edits, sub bass quantized, more hihats to parts",,
71,BlazedJuke,BlazedJuke,160,Juke,,,,,,,
72,Blow The Whistle (Zenojim Bootleg),Blow The Whistle (Zenojim Bootleg),100,Rap Edit,,,,Too Short,,,Edts & Rmxs
73,BLSScatter,BLSScatter,166,Juke,,,,,,,
74,BlueFlowers,BlueFlowers,120,Garage,,,,,,,
75,Bmore1,Bmore1,130,Club,,,,,,,
76,Bmore2 Fuck the World Ha,Bmore2 Fuck the World Ha,133,Club,,,,,"Recover from old computer
",,(unreleased)
77,Boi16-bit_Suspense Is Killing Me (Zenojim BootLeg),Boi16-bit_Suspense Is Killing Me (Zenojim BootLeg),140,Dubstep,,,,,,,
78,BollywoodBeat1,BollywoodBeat1,123,,,,,,,,
79,BollywoodBeat2,BollywoodBeat2,89,Hiphop,,,,,,,
80,Bondye (Zeno Edit),Bondye (Zeno Edit),130,Club Edit,,,,,,,
81,Bored As Fuk,Bored As Fuk,84,Hiphop,,,,,,,
82,BoronBlastah,BoronBlastah,127,Bass,,,,,,,
83,BoulevardPark,BoulevardPark,140,Dubstep,2/21/15,,,,,,
84,Bozons,Bozons,127,House,,,,,,,
85,Brainless,Brainless,130,Bass,2/22/15,,,,"Almost done, needs final mix, more variation, sweetening",,
86,BrawlBambounou (Zenojim Edit),BrawlBambounou (Zenojim Edit),131,Bass,,,,,,,
87,BrokeGlassGrillstepz,BrokeGlassGrillstepz,90,Hiphop,,,,,,,
88,BrokenHome(Refix),BrokenHome(Refix),160,Hiphop,,,,,"new snare, shorter length",,
89,bump1,bump1,90,Hiphop,,,,,,,
90,bump8,bump8,90,Hiphop,,,,,,,
91,BurnYouUp,BurnYouUp,124,House,,,,,,,
